SiteCode,FieldCode,Community,CommCode,Location,Point_Y,Point_X,Field1,location2,SampleCode,Mainstem,TSS_1,TSS_2,TSS_3,TSS_avg,TSS_stdev,Hg_p_a,Hg_p_b,Hg_p_c,Hg_p_avg,Hg_p_stdev,Hg_ss_a,Hg_ss_b,Hg_ss_c,Hg_ss_avg,Hg_ss_stdev,season,loc50,section,sectiondiff,sec1,sec2,sec3
01SJG-D1,,San Juan Grande,SJG,267,-12.56971,-70.17828,,267,1-01SJG-D1-24A,1,1036.8,974,,1005.4,44.40630586,23.27954574,18.60624257,,20.94289416,3.30452436,0.023154511,0.018506309,,0.02083041,0.003286776,1,5.34,2,0,180,87,0
01SJG-D1,,San Juan Grande,SJG,267,-12.56971,-70.17828,,267,2-01SJG-D1-24A,1,480.4,277.7,711.2,489.8,216.9,14.37385004,14.25771681,,14.31578343,0.082118594,0.037917785,0.037611429,,0.037764607,0.000216626,2,5.34,2,0,180,87,0
01SJG-Q1,,San Juan Grande,SJG,265,-12.583,-70.201,,265,1-01SJG-Q1-34A,1,298,,,298.3333333,,,,,,,,,,,,1,5.3,2,0,180,85,0
01TBL-D1,,Tambo Blanquillo,TBL,160,-12.43989,-70.6926,,160,1-01TBL-D1-24A,1,407.2,,,407.2,,11.25954966,9.832728712,,10.54613919,1.008914771,0.027651153,0.024147173,,0.025899163,0.002477689,1,3.2,1,1,160,0,0
01TBL-D1,,Tambo Blanquillo,TBL,160,-12.43989,-70.6926,,160,2-01TBL-D1-24A,1,39.5,42.9,,41.21653292,2.409566849,1.887720518,2.356467382,,2.12209395,0.331454086,0.04580008,0.057172868,,0.051486474,0.008041775,2,3.2,1,1,160,0,0
01TBL-Q1,,Tambo Blanquillo,TBL,161,-12.449,-70.691,,161,1-01TBL-Q1-24A,1,622.8,,,622.8,,,,,,,,,,,,1,3.22,1,1,161,0,0
01TRE-Q2,2-01TRE-Q1,Tres Islas,TRE,421,-12.53686,-69.29323,,421,2-01TRE-Q1-34A,1,271.6,259.2,484.4,338.4,126.6,23.28135513,20.89585112,,22.08860312,1.686806057,0.08772176,0.078733425,,0.083227593,0.006355712,2,8.42,3,0,180,280,21
01TRE-U1,,Tres Islas,TRE,416,-12.56307,-69.37666,,416,1-01TRE-U1-24A,1,519.2,498.4,,508.8,14.70782105,35.56784102,,,35.56784102,,0.027894264,,,0.027894264,,1,8.32,3,-1,180,280,16
01TRE-U1,,Tres Islas,TRE,416,-12.56307,-69.37666,,416,2-01TRE-U1-24A,1,248.8,258,254,253.6,4.6,14.19260159,20.23090029,,17.21175094,4.269721957,0.079644534,0.079837807,,0.079741171,0.000136665,2,8.32,3,-1,180,280,16
02BMA-U1,,Boca Manu,BMA,101,-12.27082,-70.94147,,101,1-02BMA-U1-24,2,265,260.9,,262.9565139,2.93330655,10.02853275,8.858678681,,9.443605716,0.827211746,0.038137609,0.033688759,,0.035913184,0.003145812,1,2.02,1,0,101,0,0
02BMA-U1,,Boca Manu,BMA,101,-12.27082,-70.94147,,101,2-02BMA-U1-24,2,38.1,41.7,,39.91779367,2.526848603,1.782518784,1.643938109,,1.713228447,0.097991335,0.044654742,0.041183091,,0.042918916,0.002454828,2,2.02,1,0,101,0,0
03RAZ-U1,,Rio Azul,RAZ,180,-12.4665932,-70.5994504,,183,1-03RAZ-U1-24A,2,19.6,18.3,,18.93333333,0.942809042,,,,,,,,,,,1,3.6,1,1,180,0,0
05BCO-U1,,Boca Colorado,BCO,224,-12.61453,-70.40881,,224,1-05BCO-U1-24,2,366.4,374.4,,370.4,5.656854249,29.9578318,24.33570671,,27.14676925,3.975442778,0.080879675,0.065701152,,0.073290414,0.010732837,1,4.48,2,0,180,44,0
05BCO-U1,,Boca Colorado,BCO,224,-12.61453,-70.40881,,225,2-05BCO-U1-24,2,434.8,575.6,671.2,560.5333333,118.918011,41.23350118,26.21466605,29.69876716,32.38231146,7.860814821,0.073561194,0.046767363,0.052983053,0.057770537,0.014023813,2,4.48,2,0,180,44,0
06RAM-U1,,Rio Amigo,RAM,298,-12.57279,-70.07266,,298,1-06RAM-U1-24,2,140.5,118.3,,129.375,15.73312588,4.46037194,6.433445032,,5.446908486,1.395173363,0.034476305,0.049727111,,0.042101708,0.010783949,1,5.96,2,0,180,118,0
06RAM-U1,,Rio Amigo,RAM,298,-12.57279,-70.07266,,298,2-06RAM-U1-24,2,61.2,61.8,,61.5,0.471404521,2.996965736,2.883256422,3.007033589,2.962418582,0.068741008,0.04873115,0.046882218,0.048894855,0.048169408,0.00111774,2,5.96,2,0,180,118,0
07BIN-U1,,Boca Inambari,BIN,357,-12.71776,-69.74806,,356,1-07BIN-U1-24,2,364.3,534,,449.125,120.0313761,31.53789284,34.00479806,,32.77134545,1.744365408,0.070220747,0.075713438,,0.072967093,0.00388392,1,7.14,2,0,180,177,0
07BIN-U1,,Boca Inambari,BIN,357,-12.71776,-69.74806,,356,2-07BIN-U1-24,2,117.8,125.6,125.6,123,4.5,27.20537705,22.70772134,22.34291327,24.08533722,2.708183456,0.221248548,0.184671228,0.181704415,0.19587473,0.022024384,2,7.14,2,0,180,177,0
08BPI-U1,,Bajo Piedras,BPI,468,-12.757937,-69.229208,,463,1-08BPI-U1-24,2,308.4,331.6,,320,16,12.73876243,13.70854065,,13.22365154,0.685736755,0.039808633,0.04283919,,0.041323911,0.002142927,1,9.36,3,0,180,280,68
09TAM-U1,,Tambopata,TAM,485,-12.60926,-69.18704,,484,1-09TAM-U1-24,2,217.8,177.5,,197.6,28.46104794,7.860799618,6.512420237,,7.186609927,0.953448204,0.036100113,0.029907785,,0.033003949,0.004378637,1,9.7,3,0,180,280,85
09TAM-U1,,Tambopata,TAM,485,-12.60926,-69.18704,,485,2-09TAM-U1-24,2,44.3,43.4,46.6,44.76190476,1.624640201,2.98467973,3.029943904,1.672989914,2.562537849,0.770703483,0.066679015,0.067690236,0.037375307,0.057248186,0.017217844,2,9.7,3,0,180,280,85
10LVA-Q1,,Lago Valencia,LVA,545,-12.41765,-68.812,,545,1-10LVA-Q1-24,2,3.9,4.8,,4.333333333,0.659966329,0.477296422,0.36813217,,0.422714296,0.077190783,0.110145328,0.084953578,,0.097549453,0.017813258,1,10.9,4,0,180,280,145
10LVA-Q4,2-10LVA-Q1,Lago Valencia,LVA,545,-12.41765,-68.8112,,545,2-10LVA-Q1-14,2,6.7,5.2,,5.933333333,1.037089946,0.123163272,0.084798918,,0.103981095,0.027127695,0.020757855,0.014291952,,0.017524904,0.004572083,2,10.9,4,0,180,280,145
